tweet,sentiment
I hate that this easy mayhem modifier event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS,Negative
I hate that this simple Chaos Modifier event on Chaos won't last forever. That's the most fun I've had in the game since they added terrible modifiers. @ Borderlands please give me the option to play Chaos 10 but turn off the modifiers.,Negative
I hate that this easy mayhem modifier event on mayhem won't last forever. this is the most fun i've had in the game since they added them horrible modifiers. @ Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS,Negative
I hate saying this easy day 9 event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me some ability to play mayhem 10 but turn the modifiers off PLS,Negative
I hate thinking that this easy mayhem modifier event on total mayhem won ’ t last forever. this is the absolutely most ridiculous fun experience i ’ ve had in the game almost since... they added them horrible modifiers. @Borderlands please do give me the option option to a play mayhem 10 but turn the modifiers off PLS,Negative
I hate that this easy horrible modifier event on game 10 last forever. That is the best fun i’ve taken in the past until they added them horrible modifiers. @Borderlands please send me the option to play mayhem 10 but turn the modifiers for PLS,Negative
Grounded almost looked pretty cool even despite the borderlands tier unfunny writing until it became yet another survival crafting game. I really can’t wait for this shitty trend to die,Negative
"Grounded looked cool despite the borderline unfunny writing, until it became another survival crafting game. I really can't wait for this crappy trend to die.",Negative
"Grosskreutz looked pretty cool, even despite the unfunny spelling, until it turned into another survival game. I really can't wait for this crap trend to die",Negative
Grounded almost looked pretty cool here despite the borderlands tier unfunny writing until it became yet an survival crafting game. I really can’t wait for this shitty mod to die,Negative
Deep Grounded almost looked pretty cool even despite the borderlands fifth tier unfunny writing format until ultimately it became yet another survival crafting mobile game. I really can ’ t wait for this shitty trend starting to... die,Negative
Grounded almost was pretty cool even despite the top tier unfunny writing until we became yet another annoying crafting game. I seriously can’t wait on this shitty trend to die,Negative
"Appreciate the (sonic) concepts / praxis Valenzuela and Landa-Posas thread together in this talk: multimodal listening, soundwalks, borderlands frameworks, participatory action research, and testimonios. . . So many thoughtful and resonant intersections here.. .  ",Positive
"Appreciate the (sound) concepts / practices that Valenzuela and Landa-Posas combine in this lecture: multimodal listening, soundwalks, borderland frameworks, participatory action research and testimonies... So many thoughtful and resonant intersections here...",Positive
"Evaluate the (sound) concepts / concepts of Valensela and Landa Pozas together in this conversation: multimodal listening, walks, border areas, joint action studies, etc. So many amazing and resonant intersections here...",Positive
"Appreciate the (sonic) concepts / praxis Valenzuela and Moreno-Posas have together in this talk: multimodal listening, soundwalks, borderlands recordings, participatory field research, and testimonios.... So many thoughtful and resonant intersections here.. :-)",Positive
"Appreciate by the ( sonic ) electronic concepts / praxis Valenzuela and Landa - Posas do thread together together in creating this talk : multimodal visual listening, digital soundwalks, borderlands frameworks, participatory action research, interviews and testimonios... So many thoughtful thoughts and resonant intersections reflected here...",Positive
"Appreciate the (sonic) conversations / actions Klein and Landa-Posas brought together in our talk: multimodal experiences, soundwalks, ethical frameworks, participatory action practices, and testimonios... So many provocative and resonant intersections today...",Positive
@Borderlands how do I submit a complaint? Your CEO isn't paying his staff their bonuses.,Negative
"@ Borderlands, how can I file a complaint? Your CEO doesn't pay his employees their bonuses.",Negative
@ Borderlands how to file a complaint? Your CEO doesn't pay his employees bonuses.,Negative
@Borderlands how did I submit a complaint? Your CEO isn't paying his competitors their bonuses.,Negative
@Borderlands how do suppose I submit a complaint? Your CEO isn'ain t even paying his entire staff their bonuses.,Negative
Now how do I submit any complaint? Your CEO isn't offering his staff their bonuses.,Negative
All the Borderlands are fuckin trash,Negative
All the Borderlands are damn rubbish,Negative
All the borderlands are fucking thrash,Negative
All the Borderlands shit fuckin trash,Negative
35 All the Borderlands are fuckin trash,Negative
All the Borderlands are fuckin stupid,Negative
"Finally played through borderlands 3. The actual game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. That story on the other hand.... All I will say Is that I'm very much so looking forward to the eventual cutscene skip :)",Positive
"Finally played by Borderlands 3. The actual game is great. Almost all weapons feel funny, and I never felt like I had to grind. On the other hand... All I will say is that I am very much looking forward to the eventual sequence skip:)",Positive
This story on the other hand.... All I will say is that I'm looking forward to an occasional slip:),Positive
"Finally played through borderlands 3. The open game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. The story on to another hand.... All I will say Is that I'm very much so looking forward to its eventual cutscene skip :)",Positive
"Finally played through borderlands 3. The actual game I play is great. Almost all guns feel fun, and yet I never once felt much like someone I seriously needed to grind. That pretty story on the other side hand.... All I will say Is that I'm very damn much so forward looking forward to the eventual endless cutscene skip : )",Positive
"Finally played through borderlands 5. The actual game play is great. Almost all guns were fun, and I never once felt sure I needed to grind. That story is the other hand.... but I will say now oh yes'm very much so looking forward to the extended cutscene skip :)",Positive
Loving these new @GhostLifestyle cans!! Anyone else drink Ghost?. .. .. . .  ,Positive
I love these new @ GhostLifestyle cans!! Everyone else drinks ghost?....,Positive
Love these new @ GhostLive cans!! Does anyone else drink Ghost?..,Positive
Loving these new @GhostLifestyle cans!! Anyone else drink Ghost?......,Positive
Loving back these three new @GhostLifestyle cans!! By Anyone else else drink Ghost?.......,Positive
do these new @GhostLifestyle<unk> They want drink Ghost?.......,Neutral
Come meet one of the lovely Gaming Goddesses . ,Positive
Meet one of the lovely gambling goddesses.,Positive
Come meet one of the beautiful gods of gambling.,Positive
Come to one of the lovely Gaming Goddesses.,Positive
16 Come meet one of... the lovely Gaming Goddesses.,Positive
Come meet one of the lovely Green Goddesses.,Positive
How the hell are we into Halloween month already?! . ,Negative
How the hell are we already into Halloween month?!.,Negative
How the hell are we already in Halloween month?!.,Negative
How the hell are March into Halloween month already?!.,Negative
How the hell are pulling we into Halloween month starting already?!.,Negative
in the hell are we into Halloween month already?!.,Negative
"""What a bitch!""",Negative
"""What a slut!""",Negative
"""What a bitch!""",Negative
"""What terrible bitch!""",Negative
"""... What a bitch! """,Negative
"""What a miracle!""",Positive
Ok I am LOVING THIS (also playing Bombs Over Baghdad in anything gets me hype)  Very Borderlands like and the concept is A1!,Positive
Ok I'm LOVING THIS (also playing Bombs Over Baghdad in something gives me a hype) Very Borderlands like and the concept is A1!,Positive
Ok I am LOVING THIS (also playing Bombs Over Baghad in anything gets me here) Very Borderlands like and the concept is A1!,Positive
Ok I am LOVING THIS (also seeing Take Over Baghdad in anything gets me hype)  Very Borderlands like and the concept is awesome!,Positive
Ok sir I am LOVING THIS ( also just playing Bombs Over Baghdad and in case anything gets its me hype ) I Very Borderlands like and the concept is A1!,Positive
Ok I am LOVING THIS (also playing Bombs and Earth in anything gets me hype) Very good RPG and the concept is A1!,Positive
Just uninstalled all of my other games to make space for Borderlands 3 . ,Neutral
Just uninstall all my other games to make room for Borderlands 3.,Neutral
Just deleted all my other games to make room for Borderlands 3.,Neutral
Just uninstalled all of my other games will make space for Borderlands 3.,Neutral
Just uninstalled all other of my my other games to make space for watching Borderlands 3.,Neutral
Just uninstalled all of all other games in make space for Borderlands 3.,Neutral
"Already loving Bleeding Edge... what a clever game! Cross between Overwatch, Borderlands and Domination game mode. Cool as!. .  ",Positive
"I love Bleeding Edge... what a clever game! Crossroads of Overwatch, Borderlands and Domination game mode. Cool as!..",Positive
"Cross between Overwatch, Borderlands and Domination game mode. Cool as!.",Positive
"Already loving Bleeding Edge... what a fun game! Cross between Overwatch, Borderlands and Xbox game mode. Cool as!..",Positive
"Already also loving the Bleeding Edge... what is a clever game! Cross between Overwatch, Borderlands and Future Domination game mode. 2016 Cool out as!..",Positive
"Already played Bleeding Edge... what a clever game! Cross between fantasy, Borderlands non Domination game mode. Playing as!..",Positive
Bioshock AND borderlands coming to the switch bitch count me the fuck in,Neutral
Bioshock AND borderlands coming to the switch bitch count me the fuck in,Neutral
Bioshock And borderlands coming to the switch bitch count me the fuck in,Neutral
Bioshock AND borderlands coming to the desert bitch count me the fuck in,Negative
Bioshock Montana AND other borderlands Are coming to the switch bitch count me the fuck in,Neutral
Bioshock AND borderlands coming after your switch bitch count me the fuck in,Negative
Platinum is the best loot @Borderlands  ,Positive
Platinum is the best booty @ Borderlands,Positive
Platinum is the best lot @ Borderlands,Positive
Platinum has the best loot @Borderlands,Positive
Platinum Rock is named the best loot @Borderlands,Positive
Platinum is the best loot the,Positive
"For some reason, my laptop can run Borderlands 3, War thunder and Warframe all on high settings.. . BUT. . The moment I even try to even launch Csgo my entire computer crashes...",Negative
"For some reason my laptop can run Borderlands 3, War Thunder and Warframe at high settings... BUT.. the moment I even try to start Csgo, my entire computer crashes...",Negative
"For some reason, my laptop can run Borderlands 3, War Thunder, and Warframe at high settings.. BUT... The moment I even try to run CSgo, my whole computer breaks down...",Negative
"For some reason, my Firefox can run Borderlands 3, War thunder plus Warframe all on high settings... no.. The moment I even try to even launch Csgo its entire computer crashes...",Negative
"For some reason, my laptop can easily run Borderlands Volume 3, Chaos War thunder and Warframe all currently on high settings... A BUT.. A The moment I even dare try to even launch Csgo to my mind entire computer crashes...",Negative
"For some reason, my software can mount Act 3, War thunder King Thunder all on high speeds... BUT.. The moment I even try to even launch from my entire computer crashes...",Negative
Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_,Neutral
Start streaming this morning! I'm still playing some of the Borderlands DLCs and vibrating to my new playlists I've made. Come vibe. I'm also lowering my quality to 720p to see if it makes a difference how well my stream runs on my stupid internet Lmao... twitch.tv / heyitscece _,Neutral
Jon stream early today! Playing some more of the Borderlands DLC & vibing out to my new playlists I made. come vibe. Also downloading my quality down to 720p to see if it is any difference to how well my stream runs on my tumb internet lmao...,Positive
Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_,Neutral
the Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_,Neutral
why,Neutral
i enter that gunner seat and i fear for my life,Negative
I step into the trench and fear for my life,Negative
i enter that gunner seat and i fear for my life,Negative
i enter that gunner seat and actually fear for my life,Negative
i then enter in that gunner seat and i fear for my life,Negative
i enter that gunner seat and i fear for a life,Negative
fuck it .  pic.twitter.com/Wav1bacr5j,Negative
Fuck it. pic.twitter.com / Wav1bacr5j,Negative
fuck it. pic.wikipedia.org / Wav1bacr5j,Negative
fuck it .  pic.twitter.com/Wav1bacr5j,Negative
V fuck it .  pic.twitter.com/Wav1bacr5j,Negative
I,Neutral
Borderlands 2 is so good omg,Positive
Borderlands 2 is so good omg,Positive
Borderlands 2 is so good omg,Positive
Borderlands 2 is now good omg,Positive
Borderlands 2 is ever so good omg,Positive
Borderlands 2 is so an omg,Positive
update 2: i thwarted the bank and now own borderlands 3,Neutral
update 2: I foiled the bank and now own borderlands 3,Neutral
update 2: i threatened the bank and now own borderlands 3,Negative
update 2: i thwarted the bank who now own borderlands 3,Neutral
update 2 : i thwarted on the late bank trip and now own borderlands 3,Neutral
update 2: i thwarted the bank we now own borderlands 3,Neutral
@Borderlands something seems very broken with M10 drop rates. Constantly dropping less lot than lower mayhem levels. How is this possible with a +2500% loot modifier on. I swear I'm seeing more greens and blues than anything on boss kills.,Negative
@ Borderlands something seems very broken with M10 drop rates. Constantly falling less than lower chaos levels. How is this possible when a + 2500% loot modifier is on. I swear I see more greens and blues than anything on boss kills.,Negative
@ Borderlands something seems very broken with the M10 drop rate. Constantly falling less than the lower levels of mayhem. As possible with the +% production modifier.,Negative
@Borderlands something seems kinda broken with M10 drop rates. Constantly pushing less lot than normal mayhem levels. How is this possible with a +2500% loot modifier on. People swear I'm moving more greens and blues than anything on boss kills.,Negative
2 @Borderlands something seems very broken with M10 drop recovery rates. Constantly dropping seems less lot than lower mayhem levels. 3 How fast is this possible with a + 2500 % loot modifier next on. 1 I swear I'm actually seeing... more greens and blues now than anything on boss kills.,Negative
@Borderlands something seems very broken with M10 drop rates. Constantly dropping less gold from lower amounts here. How is this worked with your +2500% loot modifier on.<unk> swear I'm seeing more greens over blues than anything on boss kills.,Negative
"I'm in this @CBP video. @DHS_Wolf deceptively cut these parts of our report:. . 1⃣@LaikenJordahl saying ""this is ripping Arizona and the rest of the borderlands in two."". 2⃣USBP admittedly surveilling us on public road after violent clashes with Indigenous activists protesting wall.",Negative
"I'm in this @ CBP video. @ DHS _ Wolf misleadingly cut these parts of our report:... 1 @ LaikenJordahl says, ""This is tearing Arizona and the rest of the border country in two."" 2 USBP admittedly monitors us on public streets after violent clashes with indigenous activists protesting against the wall.",Negative
I am in this video by @ CBP. @ DHS _ Wolf deceptively cuts out these parts of our report:............................................................................................................................................,Neutral
"I'm in this @CBP video. Somebody deceptively cut these bits of that report:.. 1⃣@DHS_Wolf says ""this is ripping Arizona and the rest of the borderlands in two."". 2⃣USBP admittedly surveilling us on public road of fatal clashes with Indigenous activists from wall.",Negative
"I'm in fact this entire @CBP video. @DHS_Wolf deceptively cut these parts of our report :.. The [UNK] before saying "" this is ripping into Arizona and... the rest side of the borderlands in two. "". [UNK] admittedly surveilling us on public road after violent clashes began with Indigenous American activists over protesting wall.",Negative
"I'm in this protest video. BP deceptively cut out parts of our report:.. BP saying ""this is taking Arizona and the rest of the borderlands in two."". 2USBP admittedly surveilling photos on public road after violent clashes with Tucson Muslims against our.",Negative
I got to play Borderlands 2 with the entire polycule tonight. It was fun and magical. The the evening had to end. *sigh*.,Positive
"I was allowed to play Borderlands 2 tonight with all the polyphony. It was funny and magical, the evening had to end. * sigh *.",Positive
I had to play Borderlands 2 with all the polyslice tonight. It was fun and magical. The evening had to end. * sigh *.,Positive
"I got to enjoy Borderlands 2 with the entire polycule tonight. It was fun, magical. The the evening had better end. *sigh*.",Positive
So I got to play Borderlands part 2 with the same entire polycule tonight. It was really fun and magical. The The the evening finally had to end. * sigh *.,Positive
I got to play Jackson 2 with his entire polycule tonight. It was fun completely magical. The happy evening had to end. *sigh*.,Positive
This is shitty. I get that profit-wise it was less than expected due to a huge budget.,Negative
This is crappy. I get that it was less profit than expected due to a huge budget.,Negative
This is crap. I realize that the profit turned out to be lower than expected because of the huge budget.,Negative
This is shitty. I get that profit-wise it had less than expected due to a busted budget.,Negative
This is shitty. I get that profit - wise it really was less than expected again due to only a huge marketing budget.,Negative
This is shitty. I get that profit-wise it was less business expected prior to a huge problem.,Negative
Borderlands 3 is good so far but Borderlands 2 will always be the fav,Positive
"Borderlands 3 is good so far, but Borderlands 2 will always be the favorite",Positive
Borderlands 3 is good so far but Borderlands 2 will always be the fav,Positive
Borderlands 3 is good so far but Borderlands 2 not always be the fav,Positive
Borderlands 3 is good so far but... Borderlands 2 certainly will always probably be the fav,Positive
<unk> 3 is good so far but Guardian 2 will always be the fav,Positive
"Finally got around to starting Borderlands 3 this weekend, and I love it already. . So well made. . . ",Positive
"Finally I managed to start Borderlands 3 this weekend, and I love it already... So well done...",Positive
Finally got to the launch of Borderlands 3 this weekend and I'm already enjoying it... So well done...,Positive
"Finally got around to starting Borderlands 3 this weekend, and I loved it already.. So well loved...",Positive
"Finally got around to officially starting Borderlands 3 this whole weekend, and I love it going already.. So well you made...",Positive
"Finally got around to starting Borderlands 2 this weekend, and I turned it over.. So many made...",Positive
Slutty mechanic... Im im...  ,Negative
Slutty mechanic... Im im im im...,Negative
Slutsky......,Neutral
Slutty mechanic... by im...,Neutral
Slutty old mechanic... Where Im im...,Negative
Slutty mechanic... and im...,Negative
What a night! I had heeps of fun playing Borderlands 2! We're getting closer and closer towards the end! . . After the stream we raided @ClocksyDraws ! What a amazing streamer with beautiful art pieces! Give him a follow if you don't already do! . . Goodnight!. .  ,Positive
What a night! I had loads of fun playing Borderlands 2! We are getting closer and closer to the end!.. After the stream we have raided @ ClocksyDraws! What an amazing streamer with beautiful artwork! Give it a follow-up if you haven't done it yet!.. Good night!.,Positive
What a night! I had fun playing Borderlands 2! We're getting closer and closer to the end!... After the stream we drove through @ ClocksyDraws! What an amazing street with beautiful works of art! Let him imitate if you haven't already!.. Good night!..,Positive
What a night! I had heeps of fun playing Borderlands 2! We're getting closer and closer towards this end!!. Through the stream we raided @ClocksyDraws! What a amazing streamer for beautiful art pieces! Give it a follow if you don't already do!<unk>. Goodnight!..,Positive
But What a night! I had heeps of fun playing Borderlands 2! We'll re getting any closer... and closer just towards the end!.. After the stream we raided @ClocksyDraws! a What brilliant a amazing streamer with beautiful art pieces! Give him for a follow if you can don't already go do!.. Goodnight!..,Positive
of a night! I just heeps in fun playing Borderlands 2! We're getting closer and closer towards this end!.. After the stream was raided @ClocksyDraws! What a cool streamer with beautiful art pieces! Give such a follow where we don't already so!.. Goodnight!..,Positive
4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!,Positive
4 favorite games of all time. (Thanks @ 317Slayer and @ Drunk _ Cookies!).. 1. Halo 2 / 3 I can't choose. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played).. @ Demintele _ Sway @ DiscoSpider93 @ Void _ BWungus @ LSTesports let's see em!,Positive
4 favorite games of all time. (thanks to @ 317Slayer and @ Drunk _ Crises!).............................................................................................................................................................,Positive
4 favorite games of all time. (thanks Mario and @317Slayer!).. 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Floor 2. 4. The Mario Bros All Stars (this probably mainly the first game I first played).. @Drunk_Cookies @Demintele_Sway @DiscoSpider93 @Void_BWungus let’s see who!,Positive
4 My favorite games of all time. ( thanks @317Slayer and @Drunk_Cookies! ).. 1. Halo Wars 2 / PlayStation 3 can't even pick. 2 2. New Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars ( this was probably the first game I ever even played ).. @Demintele_Sway... @DiscoSpider93 @Void_BWungus @LSTesports If let ’ s really see em!,Positive
our favorite games of all time. (thanks @317Slayer many others!).. 1. Halo 2/3 can't beat. 2. Rocket Express. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was literally the first game me ever played).. @Drunk_Cookies @Demintele_Sway @DiscoSpider93 things people see about!,Positive
